step,loss
100,7.4504
200,5.2658
300,4.7135
400,4.6596
500,4.6463
600,4.6438
700,4.6387
800,4.634
900,4.6448
1000,4.6383
1100,4.6297
1200,4.6192
1300,4.6073
1400,4.584
1500,4.5629
1600,4.5413
1700,4.5333
1800,4.5263
1900,4.5232
2000,4.5198
2100,4.5167
2200,4.5162
2300,4.5137
2400,4.5135
2500,4.5123
2600,4.5096
2700,4.51
2800,4.5089
2900,4.508
3000,4.5071
3100,4.5069
3200,4.5048
3300,4.5037
3400,4.5035
3500,4.5006
3600,4.5025
3700,4.5002
3800,4.499
3900,4.4994
4000,4.4963
4100,4.4955
4200,4.4976
4300,4.4932
4400,4.4924
4500,4.4942
4600,4.487
4700,4.49
4800,4.4903
4900,4.4837
5000,4.4871
5100,4.4848
5200,4.4807
5300,4.4833
5400,4.4818
5500,4.4783
5600,4.4806
5700,4.4757
5800,4.476
5900,4.4772
6000,4.4714
6100,4.4731
6200,4.4733
6300,4.4682
6400,4.4692
6500,4.4702
6600,4.465
6700,4.4669
6800,4.4648
6900,4.4619
7000,4.4637
7100,4.4611
7200,4.4593
7300,4.461
7400,4.4574
7500,4.456
7600,4.4585
7700,4.4533
7800,4.4539
7900,4.4557
8000,4.4508
8100,4.4515
8200,4.4517
8300,4.4482
8400,4.4499
8500,4.4488
8600,4.4475
8700,4.4466
8800,4.4458
8900,4.4454
9000,4.4457
9100,4.4445
9200,4.444
9300,4.4447
9400,4.4429
9500,4.4432
9600,4.4443
9700,4.4423
9800,4.443
9900,4.4436
10000,4.4426
