step,loss
100,7.4918
200,5.5067
300,5.3268
400,5.3135
500,5.3113
600,5.3082
700,5.3091
800,5.3077
900,5.3088
1000,5.3089
1100,5.3082
1200,5.3083
1300,5.3084
1400,5.3075
1500,5.3072
1600,5.3076
1700,5.3064
1800,5.3062
1900,5.3057
2000,5.3052
2100,5.3037
2200,5.3038
2300,5.3011
2400,5.3011
2500,5.3008
2600,5.2953
2700,5.2963
2800,5.2966
2900,5.2867
3000,5.2887
3100,5.2902
3200,5.2745
3300,5.2802
3400,5.2782
3500,5.2638
3600,5.2711
3700,5.2625
3800,5.2539
3900,5.2589
4000,5.6869
4100,5.2437
4200,5.2473
4300,5.2274
4400,5.2292
4500,5.2364
4600,5.2063
4700,5.2153
4800,5.2163
4900,5.1833
5000,5.1978
5100,5.1904
5200,5.1652
5300,5.1784
5400,5.1593
5500,5.1451
5600,5.1559
5700,5.1267
5800,5.1233
5900,5.1319
6000,5.0927
6100,5.0982
6200,5.1096
6300,5.058
6400,5.0744
6500,5.0749
6600,5.0337
6700,5.0491
6800,5.0378
6900,5.0125
7000,5.026
7100,5.0039
7200,4.9918
7300,5.0014
7400,4.9745
7500,4.9728
7600,4.9804
7700,4.9491
7800,4.9541
7900,4.9597
8000,4.9292
8100,4.9407
8200,4.9364
8300,4.9195
8400,4.9261
8500,4.92
8600,4.9112
8700,4.9138
8800,4.9069
8900,4.902
9000,4.9056
9100,4.8975
9200,4.8965
9300,4.898
9400,4.8922
9500,4.8929
9600,4.8936
9700,4.8922
9800,4.8905
9900,4.8907
10000,4.8897
