model,params,corpus,n_tokens,n_chars,n_bytes,bytes_per_token,BPT,bits_per_char,bits_per_byte
EleutherAI/pythia-70m,70426624,wikitext2,288969,1288512,1290546,4.4660361492063165,5.804650833959378,1.3017838769358823,1.2997321651753657
EleutherAI/pythia-70m,70426624,lambada,421575,1754999,1755106,4.163211765403546,6.536061796374346,1.5700523201474843,1.5699566019411448
EleutherAI/pythia-160m,162322944,wikitext2,288969,1288512,1290546,4.4660361492063165,5.000725583974217,1.1214910464748837,1.1197234901161566
EleutherAI/pythia-160m,162322944,lambada,421575,1754999,1755106,4.163211765403546,5.7874567245355175,1.3902270420929361,1.3901422869308524
EleutherAI/pythia-410m,405334016,wikitext2,288969,1288512,1290546,4.4660361492063165,4.268797073115052,0.9573446125616085,0.9558357636387881
EleutherAI/pythia-410m,405334016,lambada,421575,1754999,1755106,4.163211765403546,5.1152188009070105,1.2287462078282512,1.2286712973417975
EleutherAI/pythia-1b,1011781632,wikitext2,288969,1288512,1290546,4.4660361492063165,3.988515837891327,0.8944871550747054,0.8930773743513357
EleutherAI/pythia-1b,1011781632,lambada,421575,1754999,1755106,4.163211765403546,4.913317402287705,1.180246703200081,1.1801747494848966
EleutherAI/pythia-1.4b,1414647808,wikitext2,288969,1288512,1290546,4.4660361492063165,3.811226743062697,0.8547272984000804,0.8533801822764043
EleutherAI/pythia-1.4b,1414647808,lambada,421575,1754999,1755106,4.163211765403546,4.774901946156497,1.1469973988309539,1.146927472158904
gpt2,124439808,wikitext2,286177,1288512,1290546,4.509607690345486,4.98341646378498,1.1068109364573977,1.1050665170839276
gpt2,124439808,lambada,419201,1754999,1755106,4.186788676553729,5.708674350252279,1.3635802620400954,1.3634971313983917
gpt2-medium,354823168,wikitext2,286177,1288512,1290546,4.509607690345486,4.516932799415908,1.0032054631531926,1.0016243339938649
gpt2-medium,354823168,lambada,419201,1754999,1755106,4.186788676553729,5.287677443589807,1.2630204758124024,1.2629434757959295
gpt2-large,774030080,wikitext2,286177,1288512,1290546,4.509607690345486,4.303587829641591,0.9558217962450809,0.9543153473981879
gpt2-large,774030080,lambada,419201,1754999,1755106,4.186788676553729,5.1360357494402455,1.226799173219529,1.226724381433999
gpt2-xl,1557611200,wikitext2,286177,1288512,1290546,4.509607690345486,4.154648888478389,0.9227426325545126,0.9212883190200737
gpt2-xl,1557611200,lambada,419201,1754999,1755106,4.186788676553729,5.034193716698921,1.2024730727675084,1.2023997640221755
