model,corpus,n_tokens,n_chars,n_bytes,chars_per_token,BPT,bits_per_char,bits_per_byte
Pythia-160M,english,67584,300000,300434,4.4,4.9359,1.122,1.1204
Pythia-160M,german,100352,300000,311561,2.75,4.1573,1.5134,1.4572
Pythia-160M,french,94208,300000,310185,3.17,4.275,1.3498,1.3054
Pythia-160M,spanish,91136,300000,306434,3.27,4.2808,1.3089,1.2814
Pythia-160M,python_code,75776,220297,220297,2.88,2.1908,0.7608,0.7608
Pythia-160M,dna_sequence,100352,300000,300000,2.2,4.6687,2.122,2.122
Pythia-160M,medical_pubmed,59392,300000,300000,5.01,4.6794,0.9334,0.9334
Pythia-410M,english,67584,300000,300434,4.4,4.2012,0.955,0.9536
Pythia-410M,german,100352,300000,311561,2.75,3.5397,1.2886,1.2407
Pythia-410M,french,94208,300000,310185,3.17,3.5373,1.1168,1.0802
Pythia-410M,spanish,91136,300000,306434,3.27,3.5553,1.087,1.0642
Pythia-410M,python_code,75776,220297,220297,2.88,1.8085,0.628,0.628
Pythia-410M,dna_sequence,100352,300000,300000,2.2,4.512,2.0508,2.0508
Pythia-410M,medical_pubmed,59392,300000,300000,5.01,4.012,0.8003,0.8003
Pythia-1.4B,english,67584,300000,300434,4.4,3.746,0.8515,0.8503
Pythia-1.4B,german,100352,300000,311561,2.75,3.0978,1.1277,1.0859
Pythia-1.4B,french,94208,300000,310185,3.17,3.1008,0.979,0.9469
Pythia-1.4B,spanish,91136,300000,306434,3.27,3.1251,0.9555,0.9354
Pythia-1.4B,python_code,75776,220297,220297,2.88,1.6322,0.5668,0.5668
Pythia-1.4B,dna_sequence,100352,300000,300000,2.2,4.4906,2.0411,2.0411
Pythia-1.4B,medical_pubmed,59392,300000,300000,5.01,3.6309,0.7243,0.7243
GPT-2-medium,english,67584,300000,300434,4.43,4.4414,1.0031,1.0017
GPT-2-medium,german,100352,300000,311561,2.59,4.3463,1.6813,1.6189
GPT-2-medium,french,100352,300000,310185,2.89,5.144,1.7827,1.7242
GPT-2-medium,spanish,100352,300000,306434,2.9,5.2522,1.8121,1.774
GPT-2-medium,python_code,100352,220297,220297,1.79,1.6116,0.8997,0.8997
GPT-2-medium,dna_sequence,100352,300000,300000,1.9,4.0595,2.1421,2.1421
GPT-2-medium,medical_pubmed,61440,300000,300000,4.82,4.385,0.9104,0.9104
