model,method,seed,bpt_original,bpt_shuffled,structural_bonus
Pythia-160M,FP16,42,5.0007,10.6155,5.6148
Pythia-160M,FP16,137,5.0007,10.6233,5.6226
Pythia-160M,FP16,271,5.0007,10.603,5.6022
Pythia-160M,BNB_NF4,42,5.413,10.84,5.427
Pythia-160M,BNB_NF4,137,5.413,10.8635,5.4505
Pythia-160M,BNB_NF4,271,5.413,10.8383,5.4253
Pythia-160M,SYM_INT4,42,31.5962,32.6792,1.0829
Pythia-160M,SYM_INT4,137,31.5962,32.5255,0.9293
Pythia-160M,SYM_INT4,271,31.5962,32.7932,1.197
Pythia-160M,SYM_INT8,42,5.7536,11.0468,5.2931
Pythia-160M,SYM_INT8,137,5.7536,11.0627,5.309
Pythia-160M,SYM_INT8,271,5.7536,11.0444,5.2907
Pythia-410M,FP16,42,4.2688,10.2024,5.9336
Pythia-410M,FP16,137,4.2688,10.1883,5.9195
Pythia-410M,FP16,271,4.2688,10.1942,5.9254
Pythia-410M,BNB_NF4,42,4.6735,10.4586,5.7852
Pythia-410M,BNB_NF4,137,4.6735,10.4445,5.771
Pythia-410M,BNB_NF4,271,4.6735,10.4509,5.7775
Pythia-410M,SYM_INT4,42,16.8923,17.0324,0.1401
Pythia-410M,SYM_INT4,137,16.8923,17.1527,0.2604
Pythia-410M,SYM_INT4,271,16.8923,17.1589,0.2666
Pythia-410M,SYM_INT8,42,4.8248,10.5492,5.7244
Pythia-410M,SYM_INT8,137,4.8248,10.5252,5.7004
Pythia-410M,SYM_INT8,271,4.8248,10.5474,5.7226
GPT-2-medium,FP16,42,4.5169,10.6166,6.0997
GPT-2-medium,FP16,137,4.5169,10.6022,6.0852
GPT-2-medium,FP16,271,4.5169,10.6053,6.0883
GPT-2-medium,BNB_NF4,42,4.583,10.6764,6.0934
GPT-2-medium,BNB_NF4,137,4.583,10.6606,6.0776
GPT-2-medium,BNB_NF4,271,4.583,10.6623,6.0793
GPT-2-medium,SYM_INT4,42,14.1776,14.3066,0.129
GPT-2-medium,SYM_INT4,137,14.1776,14.3025,0.1249
GPT-2-medium,SYM_INT4,271,14.1776,14.3382,0.1606
GPT-2-medium,SYM_INT8,42,4.6395,10.6904,6.0508
GPT-2-medium,SYM_INT8,137,4.6395,10.6786,6.0391
GPT-2-medium,SYM_INT8,271,4.6395,10.6725,6.033
